Čufarjeva - dom st. občanov;46.554577;15.672089
Čufarjeva - dom st. občanov;46.554516;15.673517
Veljka Vlahoviča - S31;46.551231;15.676799
Veljka Vlahoviča - S31;46.550802;15.676429
Veljka Vlahoviča - trg. center;46.548549;15.675437
Veljka Vlahoviča - trg. center;46.547605;15.674821
Zrkovska - GD;46.554347;15.676824
Zrkovska cesta;46.552191;15.682277
Zrkovska - Na terasi;46.549787;15.694231
Zrkovska - Na terasi;46.549674;15.694727
Zrkovska - obračališče;46.549582;15.700092
Zrkovska - Na Gorci 54;46.546572;15.705258
Zrkovska - Na Gorci 65;46.544223;15.706709
Šentpetrska ulica;46.541517;15.686844
Šentpetrska ulica;46.541296;15.686742
Dogoška - vrtec;46.528173;15.6749475
Dogoška - vrtec;46.528314;15.675737
KS Silvira Tomassini;46.528448;15.679731
KS Silvira Tomassini;46.527904;15.679820
KS Silvira Tomassini;46.527886;15.681957
Tezenska Dobrava - obračališče; 46.526839;15.687001
TAM - vhod;46.527671;15.668314
TAM - Durabus;46.526532;15.663948
TAM - črpalka;46.524584;15.667554
TAM - Nkbm;46.521965;15.670191
TAM - Nkbm;46.521951;15.669840
TAM - črpalka;46.524641;15.667625
TAM - Durabus;46.526253;15.664188
TAM - vhod;46.527576;15.668854
Smetanova;46.559391;15.640427
Koroška - FERI;46.558804;15.637914
Koroška - tržnica;46.558211;15.641240
Ul. Eve Lovše - Betnava;46.537794;15.638796
Ul. Eve Lovše - Energetika;46.535254;15.642749
Ul. Eve Lovše - Lidl;46.534288;15.644301
Tržaška cesta - Elko;46.533331;15.646287
Tržaška cesta - Rutar;46.521465;15.648956
Tržaška cesta - Bauhaus;46.519346;15.650705
Tržaška cesta - Merkur;46.517790;15.652969
Tržaška cesta - Bauhaus;46.519863;15.650517
Tržaška cesta - Elko;46.533114;15.646451
Ul. Eve Lovše - Lidl;46.534833;15.643674
Ul. Eve Lovše - Energetika;46.536107;15.641725
Ul. Eve Lovše - Betnava;46.537525;15.639608
Mladinska - Vrbanska;46.564961;15.635101
Turnerjeva;46.563362;15.630494
Korbunova - Kamenškova;46.551821;15.614222
Zrkovska - GD;46.554606;15.676208
Oreško nabrežje 1;46.556392;15.661440
Meljska c. 107;46.561174;15.672793
Črnogorska št. 23;46.545675;15.656455
Makedonska;46.542353;15.657277
Belokranjska - Ul. heroja Vojka;46.543812;15.652580
Oreško nabrežje 2;46.556405;15.655834
Strossmayerjeva;46.558698;15.641525
Perhavčeva ul. - šola;46.526002;15.670753
Šober - Žunko;46.572741;15.568531
Šober - dvor;46.585389;15.568522
Rušnikova žaga;46.590991;15.556460
Smolnikov mlin;46.606638;15.551653
Limbuš - Marof;46.553985;15.582052
Gaj nad Marib. - Šiker;46.611834;15.546949
Gaj nad Marib. - transformator;46.616707;15.553091
Gaj nad Marib. - transformator;46.616856;15.553231
Gaj nad Marib. - Šiker;46.611832;15.546845
Smolnikov mlin;46.606682;15.551517
Rušnikova žaga;46.590903;15.556379
Šober - dvor;46.585282;15.568568
Šober - Žunko;46.572307;15.568450
Gregorčičeva - Gledališka;46.561127;15.644101
Maistrova - Kersnikova;46.563044;15.654677
Kamenškova;46.549424;15.610928
Ilichova - RTV;46.546609;15.614645
Razvanje - vrtnarstvo;46.521791;15.635159
Lackova - Mlada Lipa;46.540589;15.606766
Lackova - Na gorco;46.546216;15.599151
Lackova - Ul. Jelenčevih;46.547491;15.596415
Lackova - Ul. Jelenčevih;46.547357;15.596520
Rošpoh - Hojnik;46.597776;15.619418
Kamnica - križišče;46.571625;15.613594
Terme Fontana;46.565586;15.623661
Zrkovska cesta;46.552228;15.682309
Zrkovska - GD;46.554349;15.676661
